"","item","itemLabel","coord","lon","lat"
"1","http://www.wikidata.org/entity/Q93323","Chrzanów","Point(19.4 50.1333)",19.4,50.133333333333
"2","http://www.wikidata.org/entity/Q867437","Ulanów","Point(22.266666666 50.5)",22.266666666667,50.5
"3","http://www.wikidata.org/entity/Q867437","Ulanów","Point(22.26362 50.49031)",22.26362,50.49031
"4","http://www.wikidata.org/entity/Q1946041","Suchedniów","Point(20.8325 51.0517)",20.8325,51.051666666667
"5","http://www.wikidata.org/entity/Q1946041","Suchedniów","Point(20.8292 51.0478)",20.82922,51.04776
"6","http://www.wikidata.org/entity/Q910997","Wyszków","Point(21.4667 52.6)",21.466666666667,52.6
"7","http://www.wikidata.org/entity/Q2167485","Łaszczów","Point(23.733333333 50.533333333)",23.733333333333,50.533333333333
"8","http://www.wikidata.org/entity/Q2167485","Łaszczów","Point(23.72562 50.53332)",23.72562,50.53332
"9","http://www.wikidata.org/entity/Q2305215","Tychowo","Point(16.260833 53.930278)",16.260833,53.930278
"10","http://www.wikidata.org/entity/Q2305215","Tychowo","Point(16.25771 53.92774)",16.25771,53.92774
"11","http://www.wikidata.org/entity/Q2364639","Michałowo","Point(23.603611111 53.036666666)",23.603611111111,53.036666666667
"12","http://www.wikidata.org/entity/Q2364639","Michałowo","Point(23.60996 53.03492)",23.60996,53.03492
"13","http://www.wikidata.org/entity/Q1025311","Kunów","Point(21.28058 50.96156)",21.28058,50.96156
"14","http://www.wikidata.org/entity/Q1025311","Kunów","Point(21.283055555 50.958611111)",21.283055555556,50.958611111111
"15","http://www.wikidata.org/entity/Q990795","Raszków","Point(17.7257 51.7183)",17.72571,51.71828
"16","http://www.wikidata.org/entity/Q990795","Raszków","Point(17.7333 51.7167)",17.733333333333,51.716666666667
"17","http://www.wikidata.org/entity/Q2319835","Zaklików","Point(22.1167 50.7667)",22.11667,50.76667
"18","http://www.wikidata.org/entity/Q1025336","Józefów","Point(23.05 50.4833)",23.05,50.483333333333
"19","http://www.wikidata.org/entity/Q1025336","Józefów","Point(23.054 50.4812)",23.05404,50.48119
"20","http://www.wikidata.org/entity/Q1027526","Borne Sulinowo","Point(16.53395 53.57661)",16.53395,53.57661
"21","http://www.wikidata.org/entity/Q1027526","Borne Sulinowo","Point(16.533333333 53.566666666)",16.533333333333,53.566666666667
"22","http://www.wikidata.org/entity/Q2342112","Szepietowo","Point(22.54392 52.87032)",22.54392,52.87032
"23","http://www.wikidata.org/entity/Q2342112","Szepietowo","Point(22.540833333 52.869722222)",22.540833333333,52.869722222222
"24","http://www.wikidata.org/entity/Q985661","Brwinów","Point(20.716666666 52.141666666)",20.716666666667,52.141666666667
"25","http://www.wikidata.org/entity/Q990799","Gniewkowo","Point(18.416666666 52.9)",18.416666666667,52.9
"26","http://www.wikidata.org/entity/Q990799","Gniewkowo","Point(18.40785 52.89461)",18.40785,52.89461
"27","http://www.wikidata.org/entity/Q984857","Andrychów","Point(19.35 49.85)",19.35,49.85
"28","http://www.wikidata.org/entity/Q984857","Andrychów","Point(19.3333 49.8667)",19.333333333333,49.866666666667
"29","http://www.wikidata.org/entity/Q2588425","Rymanów","Point(21.883333333 49.566666666)",21.883333333333,49.566666666667
"30","http://www.wikidata.org/entity/Q2605853","Adamów","Point(23.153333333 50.595277777)",23.153333333333,50.595277777778
"31","http://www.wikidata.org/entity/Q987786","Skoczów","Point(18.7877 49.8009)",18.7877,49.80089
"32","http://www.wikidata.org/entity/Q987786","Skoczów","Point(18.8 49.8167)",18.8,49.816666666667
"33","http://www.wikidata.org/entity/Q1075607","Chocianów","Point(15.916666666 51.416666666)",15.916666666667,51.416666666667
"34","http://www.wikidata.org/entity/Q941844","Grodków","Point(17.366666666 50.683333333)",17.366666666667,50.683333333333
"35","http://www.wikidata.org/entity/Q941844","Grodków","Point(17.38449 50.69836)",17.38449,50.69836
"36","http://www.wikidata.org/entity/Q991912","Halinów","Point(21.3551 52.2288)",21.3551,52.2288
"37","http://www.wikidata.org/entity/Q991912","Halinów","Point(21.35 52.233333333)",21.35,52.233333333333
"38","http://www.wikidata.org/entity/Q1280983","Radłów","Point(20.84967 50.08419)",20.84967,50.08419
"39","http://www.wikidata.org/entity/Q1280983","Radłów","Point(20.85 50.083333333)",20.85,50.083333333333
"40","http://www.wikidata.org/entity/Q642192","Ostrzeszów","Point(18.0 51.4)",18,51.4
"41","http://www.wikidata.org/entity/Q990830","Dziwnów","Point(14.75 54.016666666)",14.75,54.016666666667
"42","http://www.wikidata.org/entity/Q653797","Brzozów","Point(22.01926 49.69501)",22.01926,49.69501
"43","http://www.wikidata.org/entity/Q653797","Brzozów","Point(22.019444444 49.695277777)",22.019444444444,49.695277777778
"44","http://www.wikidata.org/entity/Q983726","Wołów","Point(16.6283 51.3414)",16.628333333333,51.341388888889
"45","http://www.wikidata.org/entity/Q1421516","Tuliszków","Point(18.2833 52.0667)",18.283333333333,52.066666666667
"46","http://www.wikidata.org/entity/Q987997","Sieraków","Point(16.1 52.65)",16.1,52.65
"47","http://www.wikidata.org/entity/Q745567","Odolanów","Point(17.6743 51.5742)",17.67434,51.57419
"48","http://www.wikidata.org/entity/Q745567","Odolanów","Point(17.6667 51.5667)",17.666666666667,51.566666666667
"49","http://www.wikidata.org/entity/Q653855","Cieszanów","Point(23.13163 50.24564)",23.13163,50.24564
"50","http://www.wikidata.org/entity/Q988586","Sianów","Point(16.29127 54.22646)",16.29127,54.22646
"51","http://www.wikidata.org/entity/Q988586","Sianów","Point(16.300277777 54.231388888)",16.300277777778,54.231388888889
"52","http://www.wikidata.org/entity/Q249259","Jędrzejów","Point(20.3 50.6333)",20.3,50.633333333333
"53","http://www.wikidata.org/entity/Q988574","Paczków","Point(17.0 50.45)",17,50.45
"54","http://www.wikidata.org/entity/Q717774","Namysłów","Point(17.7069 51.0728)",17.706944444444,51.072777777778
"55","http://www.wikidata.org/entity/Q987012","Bojanowo","Point(16.7483 51.7075)",16.74827,51.70749
"56","http://www.wikidata.org/entity/Q987012","Bojanowo","Point(16.75 51.7)",16.75,51.7
"57","http://www.wikidata.org/entity/Q671366","Stąporków","Point(20.55 51.15)",20.55,51.15
"58","http://www.wikidata.org/entity/Q324892","Staszów","Point(21.1667 50.5606)",21.166666666667,50.560555555556
"59","http://www.wikidata.org/entity/Q275694","Opatów","Point(21.4247 50.805)",21.424722222222,50.805
"60","http://www.wikidata.org/entity/Q275694","Opatów","Point(21.4254 50.8006)",21.42538,50.80058
"61","http://www.wikidata.org/entity/Q1922294","Tuchów","Point(21.05 49.9)",21.05,49.9
"62","http://www.wikidata.org/entity/Q1922294","Tuchów","Point(21.05407 49.89485)",21.05407,49.89485
"63","http://www.wikidata.org/entity/Q1906290","Wasilków","Point(23.20776 53.19909)",23.20776,53.19909
"64","http://www.wikidata.org/entity/Q1906290","Wasilków","Point(23.204444444 53.205)",23.204444444444,53.205
"65","http://www.wikidata.org/entity/Q1906311","Zabłudów","Point(23.33831 53.01442)",23.33831,53.01442
"66","http://www.wikidata.org/entity/Q324907","Wieruszów","Point(18.1555 51.2949)",18.15547,51.29488
"67","http://www.wikidata.org/entity/Q324907","Wieruszów","Point(18.15 51.3)",18.15,51.3
"68","http://www.wikidata.org/entity/Q324927","Miechów","Point(20.02788 50.35648)",20.02788,50.35648
"69","http://www.wikidata.org/entity/Q324927","Miechów","Point(20.0325 50.357777777)",20.0325,50.357777777778
"70","http://www.wikidata.org/entity/Q774352","Bolków","Point(16.100825 50.921730555)",16.100825,50.921730555556
"71","http://www.wikidata.org/entity/Q748037","Janikowo","Point(18.1 52.75)",18.1,52.75
"72","http://www.wikidata.org/entity/Q748037","Janikowo","Point(18.11328 52.75328)",18.11328,52.75328
"73","http://www.wikidata.org/entity/Q1922317","Ożarów","Point(21.667777777 50.890833333)",21.667777777778,50.890833333333
"74","http://www.wikidata.org/entity/Q1922317","Ożarów","Point(21.66658 50.88798)",21.66658,50.88798
"75","http://www.wikidata.org/entity/Q988622","Polanów","Point(16.7 54.1)",16.7,54.1
"76","http://www.wikidata.org/entity/Q1015172","Sulejów","Point(19.8854 51.3544)",19.88538,51.35436
"77","http://www.wikidata.org/entity/Q1015172","Sulejów","Point(19.8847 51.3528)",19.884722222222,51.352777777778
"78","http://www.wikidata.org/entity/Q1906311","Zabłudów","Point(23.333333333 53.016666666)",23.333333333333,53.016666666667
"79","http://www.wikidata.org/entity/Q275592","Pińczów","Point(20.5265 50.5205)",20.52649,50.52052
"80","http://www.wikidata.org/entity/Q275592","Pińczów","Point(20.5333 50.5333)",20.533333333333,50.533333333333
"81","http://www.wikidata.org/entity/Q995855","Radków","Point(16.40061 50.50426)",16.40061,50.50426
"82","http://www.wikidata.org/entity/Q995855","Radków","Point(16.403333333 50.503888888)",16.403333333333,50.503888888889
"83","http://www.wikidata.org/entity/Q1006813","Miłakowo","Point(20.07125 54.00923)",20.07125,54.00923
"84","http://www.wikidata.org/entity/Q1006813","Miłakowo","Point(20.066666666 54.0)",20.066666666667,54
"85","http://www.wikidata.org/entity/Q835423","Strzyżów","Point(21.783333333 49.883333333)",21.783333333333,49.883333333333
"86","http://www.wikidata.org/entity/Q995865","Mieroszów","Point(16.189722222 50.666944444)",16.189722222222,50.666944444444
"87","http://www.wikidata.org/entity/Q1005442","Otmuchów","Point(17.17348 50.46627)",17.17348,50.46627
"88","http://www.wikidata.org/entity/Q1005442","Otmuchów","Point(17.175 50.466666666)",17.175,50.466666666667
"89","http://www.wikidata.org/entity/Q9212886","Dulag 121 Pruszków","Point(20.8075 52.173)",20.807494,52.173014
"90","http://www.wikidata.org/entity/Q858130","Bierutów","Point(17.54607 51.12443)",17.54607,51.12443
"91","http://www.wikidata.org/entity/Q858130","Bierutów","Point(17.533333333 51.133333333)",17.533333333333,51.133333333333
"92","http://www.wikidata.org/entity/Q1001322","Syców","Point(17.7167 51.3)",17.716666666667,51.3
"93","http://www.wikidata.org/entity/Q999607","Sędziszów","Point(20.05563 50.5659)",20.05563,50.5659
"94","http://www.wikidata.org/entity/Q999607","Sędziszów","Point(20.066666666 50.583333333)",20.066666666667,50.583333333333
"95","http://www.wikidata.org/entity/Q1005428","Przemków","Point(15.8 51.516666666)",15.8,51.516666666667
"96","http://www.wikidata.org/entity/Q1005428","Przemków","Point(15.79441 51.5253)",15.79441,51.5253
"97","http://www.wikidata.org/entity/Q1002658","Wielichowo","Point(16.349444444 52.118888888)",16.349444444444,52.118888888889
"98","http://www.wikidata.org/entity/Q1002658","Wielichowo","Point(16.3518 52.11573)",16.3518,52.11573
"99","http://www.wikidata.org/entity/Q1005503","Korfantów","Point(17.6 50.5)",17.6,50.5
"100","http://www.wikidata.org/entity/Q1001200","Prószków","Point(17.87143 50.5767)",17.87143,50.5767
"101","http://www.wikidata.org/entity/Q1001200","Prószków","Point(17.871388888 50.576388888)",17.871388888889,50.576388888889
"102","http://www.wikidata.org/entity/Q114093","Stryków","Point(19.60536 51.90224)",19.60536,51.90224
"103","http://www.wikidata.org/entity/Q114093","Stryków","Point(19.610833333 51.901111111)",19.610833333333,51.901111111111
"104","http://www.wikidata.org/entity/Q93323","Chrzanów","Point(19.4 50.1333)",19.4,50.133333333333
"105","http://www.wikidata.org/entity/Q1003264","Czchów","Point(20.683333333 49.85)",20.683333333333,49.85
"106","http://www.wikidata.org/entity/Q140476","Zagórów","Point(17.8917 52.1656)",17.891666666667,52.165555555556
"107","http://www.wikidata.org/entity/Q140476","Zagórów","Point(17.8956 52.1684)",17.89561,52.16835
"108","http://www.wikidata.org/entity/Q1280107","Ursynów","Point(21.033333333 52.141666666)",21.033333333333,52.141666666667
"109","http://www.wikidata.org/entity/Q1494474","Rembertów","Point(21.1611 52.2589)",21.161111111111,52.258888888889
"110","http://www.wikidata.org/entity/Q1634585","Mokotów","Point(21.0169 52.2)",21.016944444444,52.2
"111","http://www.wikidata.org/entity/Q1634585","Mokotów","Point(21.0349 52.1934)",21.03487,52.1934
"112","http://www.wikidata.org/entity/Q9378172","Wrotków","Point(22.55 51.2097)",22.55,51.2097
"113","http://www.wikidata.org/entity/Q18426337","Konstantynów","Point(22.492909 51.24473)",22.492909,51.24473
"114","http://www.wikidata.org/entity/Q142101","Kożuchów","Point(15.6 51.75)",15.6,51.75
"115","http://www.wikidata.org/entity/Q142101","Kożuchów","Point(15.59492 51.74558)",15.59492,51.74558
"116","http://www.wikidata.org/entity/Q1887504","Wilanów","Point(21.0833 52.1667)",21.083333333333,52.166666666667
"117","http://www.wikidata.org/entity/Q189273","Zelów","Point(19.2167 51.4667)",19.216666666667,51.466666666667
"118","http://www.wikidata.org/entity/Q7101","Bemowo","Point(20.9133 52.2386)",20.913333333333,52.238611111111
